count,day,month,year
4469,5,6,2020
6418,18,7,2020
7213,27,7,2020
6430,4,8,2020
6636,13,8,2020
6153,22,8,2020
4193,31,8,2020
4316,4,9,2020
5917,13,9,2020
4761,8,10,2020
5753,17,10,2020
5544,21,11,2020
4687,30,11,2020
4870,21,12,2020
3116,30,12,2020
5195,7,1,2021
5185,16,1,2021
6678,2,2,2021
4991,11,2,2021
6353,20,2,2021
5004,24,3,2021
6952,15,4,2021
5624,24,4,2021
9621,1,5,2021
7437,10,5,2021
5754,19,5,2021
3919,28,5,2021
6174,9,8,2021
7799,18,8,2021
4362,27,8,2021
4602,4,10,2021
5775,13,10,2021
6039,17,11,2021
4270,26,11,2021
9918,12,12,2021
4543,26,12,2021
6341,5,1,2022
3991,14,1,2022
5044,23,1,2022
7604,4,4,2022
4861,13,4,2022
4550,22,4,2022
5698,8,6,2022
7233,21,7,2022
5774,30,7,2022
6314,16,8,2022
6194,7,9,2022
4471,16,9,2022
7417,25,9,2022
3626,2,10,2022
5466,29,10,2022
5776,6,12,2022
7466,15,12,2022
4905,24,12,2022
5137,4,2,2023
4917,13,2,2023
6293,22,2,2023
5712,8,3,2023
5351,8,4,2023
4051,12,5,2023
5416,21,5,2023
5243,30,5,2023
4420,16,6,2023
7060,7,7,2023
6224,16,7,2023
6852,25,7,2023
6061,2,8,2023
5157,29,8,2023
5690,24,9,2023
4101,6,10,2023
6186,15,10,2023
5069,24,10,2023
7772,1,11,2023
3720,10,11,2023
4751,19,11,2023
5533,1,12,2023
5370,8,1,2024
5613,17,1,2024
5648,8,2,2024
6830,3,3,2024
4791,12,3,2024
6836,21,3,2024
5041,30,3,2024
4935,7,4,2024
3464,16,4,2024
33199,1,1,2018
4161,19,1,2018
3935,9,4,2018
9020,10,1,2018
6098,28,1,2018
6341,18,4,2018
5500,6,5,2018
5759,7,5,2018
4702,18,5,2018
6528,11,6,2018
6820,27,6,2018
7091,28,6,2018
6946,4,7,2018
7105,21,7,2018
7076,14,8,2018
4388,7,9,2018
5261,11,10,2018
